gum.01	gum
gum.02	gum
gum_up.03	gum
dribble.01	dribble
dribble.02	dribble
noninjected.01	noninjected
banter.01	banter
restretch.01	restretch
solicit.01	solicit
hypovascular.01	hypovascular
spool.01	spool
satisfy.01	satisfy
satisfy.02	satisfy
satisfactory.03	satisfy
rife.01	rife
intervene.01	intervene
demean.01	demean
defecate.01	defecate
gush.01	gush
gush.02	gush
fare.01	fare
puff.01	puff
puff.02	puff
puff_up.03	puff
puff_up.04	puff
abduct.01	abduct
abduct.02	abduct
defog.01	defog
religious.01	religious
religious.02	religious
nourish.01	nourish
pirate.01	pirate
show.01	show
show.04	show
show_up.02	show
show_off.03	show
knee.01	knee
disrespect.01	disrespect
hatch.01	hatch
bargain.01	bargain
lack.01	lack
rename.01	rename
loiter.01	loiter
odd.01	odd
odd.02	odd
nonpalpable.01	nonpalpable
small.01	small
repay.01	repay
blanch.01	blanch
blanch.02	blanch
blanchable.03	blanch
passionate.01	passionate
redial.01	redial
refuel.01	refuel
squish.01	squish
squish.02	squish
garble.01	garble
fly.01	fly
fly.02	fly
fly.03	fly
fly.06	fly
fly_out.04	fly
flee.05	fly
overgraze.01	overgraze
massacre.01	massacre
tip.01	tip
tip.02	tip
tip.05	tip
tip.06	tip
tip_over.03	tip
tip_off.04	tip
browse.01	browse
teem.01	teem
bunt.01	bunt
ramble.01	ramble
ramble.02	ramble
create.01	create
overdraft.01	overdraft
whistleblow.01	whistleblow
sock.01	sock
sock_away.02	sock
tepid.01	tepid
trundle.01	trundle
intermarry.01	intermarry
dab.01	dab
nettle.01	nettle
overinflate.01	overinflate
evolve.01	evolve
evolve.02	evolve
playwriting.01	playwriting
protuberant.01	protuberant
characterize.01	characterize
characteristic.02	characterize
delimit.01	delimit
desalinate.01	desalinate
extravagant.01	extravagant
finesse.01	finesse
backpack.01	backpack
starch.01	starch
tuck.01	tuck
tuck_away.02	tuck
tuck_in.03	tuck
caramelize.01	caramelize
drop.01	drop
drop.05	drop
drop.06	drop
drop.07	drop
drop_by.02	drop
drop_off.03	drop
drop_out.04	drop
drop_in.08	drop
restate.01	restate
restate.02	restate
titter.01	titter
capable.01	capable
spike.01	spike
spike.02	spike
spike.03	spike
spike.04	spike
spike.06	spike
spike_out.05	spike
mute.01	mute
upscale.01	upscale
upscale.02	upscale
arm.01	arm
arm_up.02	arm
stiff_arm.03	arm
trend.01	trend
seep.01	seep
unstructured.01	unstructured
detour.01	detour
glory.01	glory
sidestep.01	sidestep
splotch.01	splotch
lope.01	lope
tighten.01	tighten
tighten_up.02	tighten
tight.03	tighten
tight.04	tighten
tight.05	tighten
deign.01	deign
downscale.01	downscale
bedevil.01	bedevil
stress.01	stress
stress.02	stress
stress.04	stress
stress_out.03	stress
deworm.01	deworm
hydrate.01	hydrate
intermediate.01	intermediate
alien.01	alien
posterior.01	posterior
detusk.01	detusk
inoperable.01	inoperable
repurpose.01	repurpose
geminate.01	geminate
hang.01	hang
hang.02	hang
hang.07	hang
hang.11	hang
hang.12	hang
hang_on.04	hang
hang_on.05	hang
hang_up.03	hang
hang_up.08	hang
hang_out.06	hang
overhang.01	overhang
hang_ten.10	hang
reconnect.01	reconnect
hazard.01	hazard
hazardous.02	hazard
grow.01	grow
grow.02	grow
grow.03	grow
grow_up.04	grow
grown.05	grow
petty.01	petty
fumigate.01	fumigate
dissipate.01	dissipate
unseat.01	unseat
infuse.01	infuse
stride.01	stride
careless.01	careless
rebuild.01	rebuild
confess.01	confess
mitigate.01	mitigate
embed.01	embed
nationalize.01	nationalize
giggle.01	giggle
repolarize.01	repolarize
express.01	express
express.02	express
express.03	express
glove.01	glove
namedrop.01	namedrop
spearhead.01	spearhead
minor.01	minor
minor.02	minor
hunker.01	hunker
procedure.01	procedure
shatter.01	shatter
snake.01	snake
motorcycle.01	motorcycle
uncover.01	uncover
guide.01	guide
mop.01	mop
mop_up.02	mop
disown.01	disown
munch.01	munch
purr.01	purr
purr.02	purr
unjustifiable.01	unjustifiable
tailgate.01	tailgate
tailgate.02	tailgate
bash.01	bash
bash_up.02	bash
superstition.01	superstition
devise.01	devise
vomit.01	vomit
vomit_up.02	vomit
ferry.01	ferry
landlock.01	landlock
mental.01	mental
mental.02	mental
anephric.01	anephric
frock.01	frock
fight.01	fight
fight_back.04	fight
fight_off.02	fight
fight_on.03	fight
convoy.01	convoy
limp.01	limp
pulverize.01	pulverize
parrot.01	parrot
degenerate.01	degenerate
pout.01	pout
legitimize.01	legitimize
legitimate.02	legitimize
key.01	key
key.02	key
key_in.03	key
pressurize.01	pressurize
whipple.01	Whipple
illusion.01	illusion
spank.01	spank
overhunt.01	overhunt
program.01	program
coalesce.01	coalesce
splenectomy.01	splenectomy
catnap.01	catnap
